Date,Coal - Generation (in MU),Oil & Gas - Generation (in MU),Nuclear - Generation (in MU),Hydro - Generation (in MU),Solar - Generation (in MU),Wind - Generation (in MU),Small-Hydro - Generation (in MU),Bio Power - Generation (in MU),Total
2024-05-01,122574.21,5163.85,4447.05,12595.42,12645.99,8257.63,734.16,863.78,167282.09
2024-06-01,116170.84,4612.32,4217.61,14173.69,11445.66,10134.92,776.37,695.33,162226.74
2024-07-01,108650.16,2663.57,4799.84,17562.91,10356.34,13627.0,1323.02,661.59,159644.43
2024-08-01,101571.5,2518.73,5492.07,21565.9,10157.54,10268.88,1600.37,678.49,153853.48
2024-09-01,99548.04,2493.84,4926.44,20574.25,11302.62,8870.62,1612.83,609.98,149938.62
2024-10-01,111625.24,2330.48,4768.92,14455.88,12256.61,3238.28,1457.59,749.89,150882.89
2024-11-01,102728.89,1433.56,4809.77,8630.89,11246.52,3109.33,860.92,1538.49,134358.37
2024-12-01,106536.42,1599.6,5124.7,7753.43,10707.21,5747.49,807.35,2511.43,140787.63
2025-01-01,112510.53,1598.88,4778.41,7388.05,12285.75,5637.7,624.57,2636.71,147460.6
2025-02-01,108662.94,1659.05,4153.34,6970.88,12913.59,4592.48,561.87,2125.75,141639.9
2025-03-01,120750.65,1785.82,4719.07,8763.28,16811.38,5133.63,615.16,1581.1,160160.09
2025-04-01,115835.15,3195.53,4951.45,9618.15,15811.82,6330.71,687.48,1016.06,157446.35
2025-05-01,111274.42,2782.33,5137.08,13264.6,14305.32,10667.42,780.91,851.05,159063.13
2025-06-01,105966.91,2809.12,4498.01,16775.5,12927.48,14879.54,1170.79,683.13,159710.48
2025-07-01,103811.19,2545.81,4536.36,21673.9,12100.63,17572.87,1584.52,1569.76,165395.04
2025-08-01,102453.72,2054.73,4105.67,23515.94,12634.93,12893.73,1659.9,670.56,159989.18
2025-09-01,99520.45,2440.19,4045.28,22317.41,13556.18,10399.6,1494.29,614.39,154387.79
2025-10-01,96167.54,1454.48,4808.57,16437.39,13063.15,6406.48,1251.09,767.78,140356.48
2025-11-01,96119.81,1700.54,3860.28,9816.95,13185.97,4483.33,920.6,2010.11,132097.59
2025-12-01,111373.68,1978.63,4221.94,8767.19,14946.83,5009.05,727.82,2647.69,149672.83
